"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.866666666666667
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"7",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.933333333333333
"8",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.8
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.866666666666667
"11",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"12",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"13",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.866666666666667
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.933333333333333
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"23",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"24",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
