"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"2",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.866666666666667
"3",1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.733333333333333
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.866666666666667
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.866666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"10",1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0.8
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"12",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.866666666666667
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"14",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"15",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"16",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"18",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"19",1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0.733333333333333
"20",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"21",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.866666666666667
"22",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"24",0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0.733333333333333
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
